RDA label,RDA IRI,pseudo-Turtle,Kiegel syntax
is translated as RDA 24.5,http://rdaregistry.info/Elements/e/P20171,"bf:translation <P20171value> .
# with literal value
bf:translation [ a bf:Work ;
   rdfs:label ""P20171value"" ] .","translation*
or
translation >> Work > rdfs:label"
has supplement expression RDA 24.5,http://rdaregistry.info/Elements/e/P20172,"bf:supplement <P20172value> .
# with literal value
bf:supplement [ a bf:Work ;
   rdfs:label ""P20172value"" ] .","supplement*
or
supplement >> Work > rdfs:label"
is screenplay for motion picture expression RDA 24.5,http://rdaregistry.info/Elements/e/P20173,"bf:accompanies <P20173value> .
# with literal value
bf:accompanies [ a bf:Work ;
   rdfs:label ""P20173value"" ] .","accompanies*
or
accompanies >> Work > rdfs:label"
is screenplay for television program expression RDA 24.5,http://rdaregistry.info/Elements/e/P20174,"bf:accompanies <P20174value> .
# with literal value
bf:accompanies [ a bf:Work ;
   rdfs:label ""P20174value"" ] .","accompanies*
or
accompanies >> Work > rdfs:label"
is screenplay for video expression RDA 24.5,http://rdaregistry.info/Elements/e/P20175,"bf:accompanies <P20175value> .
# with literal value
bf:accompanies [ a bf:Work ;
   rdfs:label ""P20175value"" ] .","accompanies*
or
accompanies >> Work > rdfs:label"
is script for radio program expression RDA 24.5,http://rdaregistry.info/Elements/e/P20176,"bf:accompanies <P20176value> .
# with literal value
bf:accompanies [ a bf:Work ;
   rdfs:label ""P20176value"" ] .","accompanies*
or
accompanies >> Work > rdfs:label"
is addenda to expression RDA 24.5,http://rdaregistry.info/Elements/e/P20177,"bf:accompanies <P20177value> .
# with literal value
bf:accompanies [ a bf:Work ;
   rdfs:label ""P20177value"" ] .","accompanies*
or
accompanies >> Work > rdfs:label"
is summary of expression RDA 24.5,http://rdaregistry.info/Elements/e/P20179,"bf:derivativeOf <P20179value> .
# with literal value
bf:derivativeOf [a bf:Work;
   rdfs:label ""P20179value"" ] .","derivativeOf*
or
derivativeOf >> Work > rdfs:label"
is catalogue of expression RDA 24.5,http://rdaregistry.info/Elements/e/P20180,"bf:accompanies <P20180value> .
# with literal value
bf:accompanies [ a bf:Work ;
   rdfs:label ""P20180value"" ] .","accompanies*
or
accompanies >> Work > rdfs:label"
is concordance to expression RDA 24.5,http://rdaregistry.info/Elements/e/P20181,"bf:accompanies <P20181value> .
# with literal value
bf:accompanies [ a bf:Work ;
   rdfs:label ""P20181value"" ] .","accompanies*
or
accompanies >> Work > rdfs:label"
is choreographic adaptation of expression RDA 24.5,http://rdaregistry.info/Elements/e/P20183,"bf:derivativeOf <P20183value> .
# with literal value
bf:derivativeOf [a bf:Work;
   rdfs:label ""P20183value"" ] .","derivativeOf*
or
derivativeOf >> Work > rdfs:label"
is expanded version of expression RDA 24.5,http://rdaregistry.info/Elements/e/P20184,"bf:derivativeOf <P20184value> .
# with literal value
bf:derivativeOf [a bf:Work;
   rdfs:label ""P20184value"" ] .","derivativeOf*
or
derivativeOf >> Work > rdfs:label"
is remake of expression RDA 24.5,http://rdaregistry.info/Elements/e/P20185,"bf:derivativeOf <P20185value> .
# with literal value
bf:derivativeOf [a bf:Work;
   rdfs:label ""P20185value"" ] .","derivativeOf*
or
derivativeOf >> Work > rdfs:label"
is paraphrase of expression RDA 24.5,http://rdaregistry.info/Elements/e/P20186,"bf:derivativeOf <P20186value> .
# with literal value
bf:derivativeOf [a bf:Work;
   rdfs:label ""P20186value"" ] .","derivativeOf*
or
derivativeOf >> Work > rdfs:label"
is index to expression RDA 24.5,http://rdaregistry.info/Elements/e/P20188,"bf:indexOf <P20188value> .
# with literal value
bf:indexOf [ a bf:Work ;
   rdfs:label ""P20188value"" ] .","indexOf*
or
indexOf >> Work > rdfs:label
"
is revision of RDA 24.5,http://rdaregistry.info/Elements/e/P20189,"bf:derivativeOf <P20189value> .
# with literal value
bf:derivativeOf [a bf:Work;
   rdfs:label ""P20189value"" ] .","derivativeOf*
or
derivativeOf >> Work > rdfs:label"
is libretto based on expression RDA 24.5,http://rdaregistry.info/Elements/e/P20190,"bf:derivativeOf <P20190value> .
# with literal value
bf:derivativeOf [a bf:Work;
   rdfs:label ""P20190value"" ] .","derivativeOf*
or
derivativeOf >> Work > rdfs:label"
is continued by expression RDA 24.5,http://rdaregistry.info/Elements/e/P20191,"bf:continuedBy <P20191value> .
# with literal value
bf:continuedBy [ a bf:Work ;
   rdfs:label ""P20191value"" ] .","continuedBy*
or
continuedBy >> Work > rdfs:label"
is augmentation of expression RDA 24.5,http://rdaregistry.info/Elements/e/P20192,"bf:accompanies <P20192value> .
# with literal value
bf:accompanies [a bf:Work;
   rdfs:label ""P20192value"" ] .","accompanies*
or
accompanies >> Work > rdfs:label"
is abstracts for expression RDA 24.5,http://rdaregistry.info/Elements/e/P20193,"bf:derivativeOf <P20193value> .
# with literal value
bf:derivativeOf [a bf:Work;
   rdfs:label ""P20193value"" ] .","derivativeOf*
or
derivativeOf >> Work > rdfs:label"
is indexing for expression RDA 24.5,http://rdaregistry.info/Elements/e/P20194,"bf:derivativeOf <P20194value> .
# with literal value
bf:derivativeOf [a bf:Work;
   rdfs:label ""P20194value"" ] .","derivativeOf*
or
derivativeOf >> Work > rdfs:label"
