RDA label,RDA IRI,pseudo-Turtle,Kiegel syntax
has court governed (RDA 18.5),http://rdaregistry.info/Elements/w/P10011,"bf:relatedTo [ a bf:Organization ;
   rdfs:label ""P10011value"" ] .
# with IRI value
bf:relatedTo <P10011value> .","relatedTo >> Organization > rdfs:label
or
relatedTo*"
has numbering of part (RDA 24.6),http://rdaregistry.info/Elements/w/P10012,"bf:title [ a bf:Title ;
   bf:partNumber ""P10012value""  ]  .",title >> Title > partNumber
has film director agent (RDA 18.5),http://rdaregistry.info/Elements/w/P10013,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P10013value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/fmd> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P10013value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/fmd> ] . ","contribution >> Contribution > agent >> Agent > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/fmd>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/fmd>"
has radio director agent (RDA 18.5),http://rdaregistry.info/Elements/w/P10014,"bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/rdd> ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P10014value"" ] ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/rdd> ;
   bf:agent <P10014value> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/rdd> > agent >> Agent > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/rdd>"
has television director agent (RDA 18.5),http://rdaregistry.info/Elements/w/P10015,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P10015value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/tld> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P10015value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/tld> ] . ","contribution >> Contribution > agent >> Agent > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/tld>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/tld>"
is dramatized as work (RDA 24.5),http://rdaregistry.info/Elements/w/P10016,"bf:hasDerivative <P10016value> .
# with literal value
bf:hasDerivative [ a bf:Work ;
    rdfs:label ""P10016value"" ] .","hasDerivative*
or
hasDerivative >> Work > rdfs:label
"
has enacting jurisdiction (RDA 18.5),http://rdaregistry.info/Elements/w/P10017,"bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/enj> ;
   bf:agent [ a bf:Jurisdiction ;
      rdfs:label ""P10017value"" ] ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/enj> ;
   bf:agent <P10017value> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/enj> > agent >> Jurisdiction > rdfs: label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/enj>"
has jurisdiction governed (RDA 18.5),http://rdaregistry.info/Elements/w/P10018,"bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/jug> ;
   bf:agent [ a bf:Jurisdiction;
      rdfs:label ""P10018value"" ] ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:role <http://id.loc.gov/vocabulary/relators/jug> ;
   bf:agent <P10018value> ] .","contribution >> Contribution > role=<http://id.loc.gov/vocabulary/relators/jug> > agent >> Jurisdiction > rdfs:label
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/jug>"
is part of work (RDA 24.5),http://rdaregistry.info/Elements/w/P10019,"bf:partOf <P10019value> .
# with literal value
bf:partOf [ a bf:Work ;
   rdfs:label ""P10019value"" ] .","partOf*
or
partOf >> Work > rdfs:label
"
has sequel work (RDA 24.5),http://rdaregistry.info/Elements/w/P10020,"bf:succeededBy <P10020value> .
# with literal value
bf:succeededBy [ a bf:Work ;
rdfs:label ""P10020value"" ] .","succeededBy*
or
succeededBy >> Work > rdfs:label"
