RDA label,RDA IRI,pseudo-Turtle,Kiegel syntax
has groove characteristic (RDA 3.16.5),http://rdaregistry.info/Elements/m/P30164,"
bf:soundCharacteristic [ a bf:GrooveCharacteristic ;
   rdfs:label ""P30164value"" ] .
# with IRI value
bf:soundCharacteristic <P30164value> .","soundCharacteristic >> GrooveCharacteristic > rdfs:label
or
soundCharacteristic*"
has numbering of sequence (RDA 2.6),http://rdaregistry.info/Elements/m/P30165,not mapped,not mapped
has frequency (RDA 2.14),http://rdaregistry.info/Elements/m/P30168,"bf:frequency [ a bf:Frequency ;
      rdfs:label ""P30168value"" ] .
# with IRI value
bf:frequency <P30168value> .","frequency >> Frequency > rdfs:label
or
frequency*"
has dimensions (RDA 3.5),http://rdaregistry.info/Elements/m/P30169,"bf:dimensions ""P30169value"" .",dimensions
has dimensions of cartographic image (RDA 3.5.2),http://rdaregistry.info/Elements/m/P30170,"bf:dimensions ""P30170value""  .",dimensions
has dimensions of still image (RDA 3.5.3),http://rdaregistry.info/Elements/m/P30171,"bf:dimensions ""P30171value""  .",dimensions
has type of recording (*) (RDA 3.16.2),http://rdaregistry.info/Elements/m/P30172,"bf:soundCharacteristic [ a bf:RecordingMethod ;
   rdfs:label ""P30172value"" ] .
# with IRI value
bf:soundCharacteristic <P30172value> .","soundCharacteristic >> RecordingMethod > rdfs:label
or
soundCharacteristic*"
has name of distributor (RDA 2.9.4),http://rdaregistry.info/Elements/m/P30173,"bf:provisionActivity [ a bf:Distribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P30173value"" ] ] .","provisionActivity >> Distribution > agent >> Agent > rdfs:label
"
has name of producer (RDA 2.7.4),http://rdaregistry.info/Elements/m/P30174,"
bf:provisionActivity [ a bf:Production ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P30174value"" ] ] .","provisionActivity >> Production > agent >> Agent > rdfs:label
"
has name of manufacturer (RDA 2.10.4),http://rdaregistry.info/Elements/m/P30175,"
bf:provisionActivity [ a bf:Manufacture ;
   bf:agent [ a bf:Agent ;
   rdfs:label ""P30175value"" ] ] .","provisionActivity >> Manufacture > agent >> Agent > rdfs:label
"
has name of publisher (RDA 2.8.4),http://rdaregistry.info/Elements/m/P30176,"
bf:provisionActivity [ a bf:Publication ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P30176value"" ] ] .","provisionActivity >> Publication > agent >> Agent > rdfs:label
"
has extent of manifestation (RDA 3.4),http://rdaregistry.info/Elements/m/P30182,"bf:extent [ a bf:Extent ;
   rdfs:label ""P30182value"" ] .",extent >> Extent > rdfs:label
has file size (RDA 3.19.4),http://rdaregistry.info/Elements/m/P30183,"bf:digitalCharacteristic [ a bf:FileSize ;
   rdfs:label ""P30183value"" ] .","digitalCharacteristic >> FileSize > rdfs:label
"
has configuration of playback channels (RDA 3.16.8),http://rdaregistry.info/Elements/m/P30184,"bf:soundCharacteristic [ a bf:PlaybackChannels ;
   rdfs:label ""P30184value"" ] .
# with IRI value
bf:soundCharacteristic <P30184value> .","soundCharacteristic >> PlaybackChannels > rdfs:label
or
soundCharacteristic*"
has tape configuration (RDA 3.16.7),http://rdaregistry.info/Elements/m/P30185,"
bf:soundCharacteristic [ a bf:TapeConfig ;
   rdfs:label ""P30185value"" ] .
# with IRI value
bf:soundCharacteristic <P30185value> .","soundCharacteristic >> TapeConfig > rdfs:label
or
soundCharacteristic*"
